Nr.;GTIN;brandName;productName;Energy  [kJ];Energy [kcal];Fat;Fat_isEqual;OfWhichSaturated;OfWhichSaturated_isEqual;Carbohydrate;Carbohydrate_isEqual;OfWhichSugar;OfWhichSugar_isEqual;Protein;Protein_isEqual;Salt;Salt_isEqual;oneHundred_referenceUnit;barcode;detailedProductName;netContent;netContentUnit;packagingMarkedLabelAccreditation;organicClaim;percentageOfAlcoholByVolume;percentageOfAlcoholByVolume_isEqual;packagingRecyclingProcessType;brick_code;brick decription
227;4337256285506;Ja!;Schlemmerfilet À La Bordelaise;480;115;5.6;TRUE;0.7;TRUE;3.6;TRUE;1;TRUE;12;TRUE;0.88;TRUE;g;4337256285506;Schlemmerfilet À La Bordelaise, aus Alaska- Seelachsfilet, praktisch grätenfrei, aus Blöcken geschnitten, mit würziger Auflage aus fein abgestimmten aromatischen Kräutern und Gewürzen tiefgefroren ;400;g;[230, 121, 225];N/A;N/A;TRUE;N/A;10000016;Fisch – bearbeitet / verarbeitet (tiefgefroren)
228;4250241203517;Iglo;Fischstäbchen;N/A;N/A;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;4250241203517;Fischstäbchen aus Alaska Seelachs-Filet, Paniert, Praktisch grätenfrei, vorgebraten und tiefgefroren;300;g;[230, 121, 137];N/A;N/A;TRUE;N/A;10000017;Fisch - bearbeitet / verarbeitet (tiefgefroren)
229;4008366016822;Frosta;White Tiger Prawns;309;73;1;TRUE;0.4;TRUE;0;TRUE;0;TRUE;16;TRUE;1;TRUE;g;4008366016822;Gekochte Garnelen;250;g;[225, 8];N/A;N/A;TRUE;N/A;10000256;Krustentiere / Muscheln / Schnecken – bearbeitet / verarbeitet (tiefgefroren)
230;4008258154229;Seeberger;Studentenfutter;2112;507;33;TRUE;3.7;TRUE;36;TRUE;32;TRUE;13;TRUE;0.03;TRUE;g;4008258154229;Mischung aus Nusskermen (57%) und getrockneten Weinbeeren (43%);150;g;N/A;N/A;N/A;TRUE;N/A;10000008;Nüsse / Samen – nicht bearbeitet / verarbeitet (ohne Kühlung haltbar)
231;4006229434714;Reinert;Bärchen Streich;1316;319;30;TRUE;12.8;TRUE;1;TRUE;0.5;TRUE;11;TRUE;1.8;TRUE;g;4006229434714;Cremiger Brotaufstrich aus Schweine-, Putenfleisch und Schweineleber, gegart;125;g;N/A;N/A;N/A;TRUE;N/A;10005832;Sonstige Würste (Fleisch / Geflügel) – bearbeitet / verarbeitet
232;4000405002612;Rüggenwalder Mühle;Mühlen Frikadellen;1124;271;21;TRUE;8.2;TRUE;4.4;TRUE;1.6;TRUE;16;TRUE;1.9;TRUE;g;4000405002612;N/A;165;g;[200];N/A;N/A;TRUE;N/A;10005781;Schweinefleisch - bearbeitet / verarbeitet
233;5707196160192;Tulip;Pulled Pork;558;133;6;TRUE;2.4;TRUE;2.5;TRUE;0.5;TRUE;17;TRUE;1.5;TRUE;g;5707196160192;Pulled Pork. Schweinfleisch mit Zusatz von Wasser, mariniert und gegart.;550;g;[225];N/A;N/A;TRUE;N/A;10005781;Schweinefleisch - bearbeitet / verarbeitet
234;4015481007376;Bio Lust;Bio Frühstücksbacon;1515;366;34;TRUE;12.5;TRUE;0.1;TRUE;0.1;TRUE;15;TRUE;2.3;TRUE;g;4015481007376;Bio Fleisch- und Wurstspezialitäten aus der Heimat;100;g;[135];[14, 226];N/A;TRUE;N/A;10005781;Schweinefleisch - bearbeitet / verarbeitet
235;2848172003119;Borgmeier;Puten Schnitzel;N/A;N/A;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;2848172003119;Puten Schnitzel 2 Stück Natur frisch;311;g;N/A;N/A;N/A;TRUE;N/A;10005783;Sonstige Fleisch– / Geflügelarten – bearbeitet / verarbeitet
236;2828252002973;Ludwigsluster;Hüftsteak;N/A;N/A;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;2828252002973;Rindfleisch;297;g;N/A;N/A;N/A;TRUE;N/A;10005786;Rindfleisch - nicht bearbeitet / verarbeitet
237;4043362621748;Tillmanns`s;Toastys;1016;242;9.9;TRUE;1.3;TRUE;21;TRUE;1.5;TRUE;17;TRUE;1.7;TRUE;g;4043362621748;Zartes, fein zerkleinertes Hähnchenbrusttfilet in Toastform zusammengefügt, extra kross paniert, gebraten und tiefgefroren;280;g;N/A;N/A;N/A;TRUE;N/A;10005781;Schweinefleisch - bearbeitet / verarbeitet
238;4009286154359;Block House;Beef Nuggets;1093;260;14;TRUE;4.4;TRUE;20;TRUE;0.9;TRUE;14;TRUE;1;TRUE;g;4009286154359;Ausgeformte Nuggets aus Rindfleisch, gewolft, gewürzt und mit einer Cornflakes-Panade umhüllt, vorfrittiert, tiefgefroren;300;g;N/A;N/A;N/A;TRUE;N/A;10005767;Rindfleisch - bearbeitet / verarbeitet
239;4062595013762;N/A;Kopfsalat Herzen;N/A;N/A;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;4062595013762;Kopfsalatherzen 2 Stück;N/A;g;N/A;N/A;N/A;TRUE;N/A;10006079;Kopfsalat (Buttersalat)
240;4016414013709;N/A;Feiner Rucola;N/A;N/A;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;4016414013709;N/A;125;g;N/A;N/A;N/A;TRUE;N/A;10006088;Rauke / Rukola
241;4018742010146;ELO;Eisbergsalat;N/A;N/A;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;4018742010146;Eissalat;N/A;g;N/A;N/A;N/A;TRUE;N/A;10006267;Eisbergsalat
242;4062595021187;N/A;Mini-Pak Choi;N/A;N/A;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;4062595021187;N/A;300;g;N/A;N/A;N/A;TRUE;N/A;10006145;Pak–Choi
243;4016414004202;N/A;Feldsalat;N/A;N/A;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;4016414004202;Feldsalat;150;g;N/A;N/A;N/A;TRUE;N/A;10006086;Feldsalat
244;4038057130308;Wasgau Bio;Bio Salat;N/A;N/A;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;4038057130308;Eichblatt rot;N/A;g;N/A;[23, 257];N/A;TRUE;N/A;10006268;Lose Blätter / Multiblattsalate – sonstige
245;3280220115112;Florette;Feldsalat;112;27;0.5;TRUE;0.1;FALSE;1.8;TRUE;0.2;TRUE;2.2;TRUE;0.01;TRUE;g;3280220115112;N/A;100;g;[230];N/A;N/A;TRUE;N/A;10006086;Feldsalat
246;4038813090006;Dreesen Kräuter;Bio Garten Kresse;N/A;N/A;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;4038813090006;N/A;N/A;N/A;N/A;[226];N/A;TRUE;N/A;10006048;Brunnenkresse
247;4016414191476;N/A;Pflücksalat;N/A;N/A;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;4016414191476;Pflücksalat;125;g;N/A;N/A;N/A;TRUE;N/A;10006268;Lose Blätter / Multiblattsalate – sonstige
248;8711327318373;Langnese;Cornetto;1264;301;17;TRUE;13;TRUE;34;TRUE;18;TRUE;3.1;TRUE;0.21;TRUE;g;8711327318373;N/A;360.00/540.00;g/ml;N/A;N/A;N/A;TRUE;N/A;10000215;Speiseeis (tiefgefroren)
249;8714100654774;Langnese;Magnum Mini;1367;326;20;TRUE;14;TRUE;31;TRUE;28;TRUE;3.4;TRUE;0.12;TRUE;g;8714100654774;Vanilleeis mit Vanille aus Madagascar und Milchschokolade;352.00/440.00;g/ml;[182];N/A;N/A;TRUE;N/A;10000215;Speiseeis (tiefgefroren)
250;8606104861572;All Fresco;Himbeeren;120;29;0;TRUE;0;TRUE;5.5;TRUE;4.5;TRUE;1.4;TRUE;0.02;TRUE;g;8606104861572;Himbeeren, tiefgefroren Sorte Willamette aus Serbien;300;g;N/A;N/A;N/A;TRUE;N/A;10000002;Obst – nicht bearbeitet / verarbeitet (tiefgefroren)
